Year,Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,Value,women,men,>18,18-25,26-35,36-45,46-55,56+,Women under 18,Women 18-25,Women 26-35,Women 36-45,Women 46-55,Women 56+,Men under 18,Men 18-25,Men 26-35,Men 36-45,Men 46-55,Men 56+,ref_name_uz,ref_name_en,ref_name_ru,ref_code,ref_region_id
2015,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,108500,53300,55200,41753,16493,20394,11986.0,8548.0,9319.0,20008,8230,10306,5599.0,4265.0,4893.0,21745,8263,10088,6387.0,4283.0,4426.0,Boysun tumani,Boysun District,Байсунский район,76,10
2016,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,110800,54300,56500,42111,16597,20996,12683.0,8811.0,9627.0,20080,8193,10518,6113.0,4320.0,5056.0,22031,8404,10478,6570.0,4491.0,4572.0,Boysun tumani,Boysun District,Байсунский район,76,10
2017,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,113100,55400,57700,42661,16313,21577,13336.0,9205.0,9976.0,20319,8049,10794,6474.0,4532.0,5227.0,22342,8264,10783,6862.0,4673.0,4750.0,Boysun tumani,Boysun District,Байсунский район,76,10
2018,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,115300,56400,58900,43270,16148,22081,13995.0,9545.0,10244.0,20626,7805,11067,6800.0,4686.0,5364.0,22644,8343,11014,7195.0,4859.0,4880.0,Boysun tumani,Boysun District,Байсунский район,76,10
2019,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,117700,57500,60200,44273,15353,22544,14752.0,9876.0,10673.0,21071,7453,11311,7205.0,4781.0,5582.0,23202,7900,11233,7548.0,5095.0,5092.0,Boysun tumani,Boysun District,Байсунский район,76,10
2020,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,115400,56300,59100,43817,14355,21947,14626.0,9819.0,10848.0,20793,6975,10951,7252.0,4724.0,5609.0,23024,7380,10996,7375.0,5096.0,5239.0,Boysun tumani,Boysun District,Байсунский район,76,10
2021,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,117500,57300,60200,44558,14309,21745,15530.0,10206.0,11153.0,21139,6964,10784,7678.0,4938.0,5800.0,23419,7345,10961,7852.0,5268.0,5353.0,Boysun tumani,Boysun District,Байсунский район,76,10
2022,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,119700,58400,61300,45793,14117,21694,15862.0,10588.0,11624.0,21698,6910,10694,7908.0,5155.0,6005.0,24095,7207,11000,7954.0,5434.0,5620.0,Boysun tumani,Boysun District,Байсунский район,76,10
2023,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,122000,59500,62500,47020,13630,21842,16453.0,10987.0,12033.0,22355,6585,10736,8194.0,5353.0,6239.0,24665,7045,11106,8259.0,5634.0,5794.0,Boysun tumani,Boysun District,Байсунский район,76,10
2024,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,124600,60800,63800,48497,13621,21600,16884.0,11530.0,12467.0,23113,6517,10634,8392.0,5566.0,6552.0,25384,7104,10966,8492.0,5964.0,5915.0,Boysun tumani,Boysun District,Байсунский район,76,10
2025,1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,127100,62000,65100,50032,13300,21371,17404.0,11916.0,13056.0,23851,6457,10439,8600.0,5760.0,6870.0,26181,6843,10932,8804.0,6156.0,6186.0,Boysun tumani,Boysun District,Байсунский район,76,10
2010,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,112500,,56200,,,,,,,,,,,,,,,,,,,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2011,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,115800,,57200,,,,,,,,,,,,,,,,,,,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2012,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,118600,,58500,,,,,,,,,,,,,,,,,,,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2013,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,121400,,59900,43535,19822,21999,13827.0,10911.0,11329.0,21230,10420,11315,7128.0,5630.0,5827.0,22305,9402,10684,6699.0,5282.0,5502.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2014,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,124200,62900,61300,44052,19693,22922,14485.0,11204.0,11890.0,21480,10152,11915,7421.0,5785.0,6200.0,22572,9541,11007,7064.0,5420.0,5690.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2015,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,127100,64400,62700,44512,19728,23851,15064.0,11536.0,12379.0,21816,9940,12565,7684.0,5952.0,6430.0,22696,9788,11286,7381.0,5584.0,5949.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2016,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,130200,65900,64300,45219,19486,24800,15758.0,11905.0,12988.0,21928,9936,12985,8144.0,6158.0,6761.0,23291,9550,11815,7615.0,5748.0,6227.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2017,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,132800,67000,65800,46193,18632,26043,16310.0,12124.0,13495.0,22276,9653,13638,8278.0,6274.0,7098.0,23917,8979,12405,8032.0,5850.0,6397.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2018,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,135600,68600,67000,47114,17867,27038,16979.0,12492.0,14073.0,22633,9260,14148,8653.0,6446.0,7386.0,24481,8607,12890,8327.0,6046.0,6688.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2019,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,138400,69900,68500,48144,17696,27418,17437.0,12882.0,14799.0,23099,9073,14397,8814.0,6635.0,7845.0,25045,8623,13021,8623.0,6247.0,6954.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2020,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,141400,71300,70100,49650,17057,27927,17971.0,13196.0,15581.0,23833,8538,14873,9069.0,6779.0,8241.0,25817,8519,13054,8902.0,6417.0,7341.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2021,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,144200,72700,71500,51070,16737,27869,18500.0,13579.0,16418.0,24365,8523,14772,9337.0,7012.0,8718.0,26705,8214,13097,9163.0,6567.0,7700.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2022,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,147100,74200,72900,52844,16221,27956,19190.0,13801.0,17127.0,25314,8339,14711,9733.0,7118.0,9041.0,27530,7882,13245,9457.0,6683.0,8086.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2023,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,150400,75800,74600,55039,15426,27688,20030.0,14271.0,17906.0,26291,7806,14432,10415.0,7348.0,9488.0,28748,7620,13256,9615.0,6923.0,8419.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2024,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,153600,77300,76300,57249,15162,27033,20928.0,14745.0,18521.0,27500,7333,14064,11011.0,7526.0,9892.0,29749,7829,12969,9917.0,7220.0,8629.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2025,1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,156800,78800,78000,59365,14747,26516,21784.0,15181.0,19220.0,28468,7137,13648,11553.0,7778.0,10273.0,30897,7610,12868,10231.0,7403.0,8947.0,Muzrabot tumani,Muzrabot District,Музработский район,81,10
2010,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,315700,,158900,,,,,,,,,,,,,,,,,,,Denov tumani,Denov District,Деновский район,77,10
2011,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,327400,,165800,,,,,,,,,,,,,,,,,,,Denov tumani,Denov District,Деновский район,77,10
2012,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,332600,,168700,,,,,,,,,,,,,,,,,,,Denov tumani,Denov District,Деновский район,77,10
2013,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,338700,,171900,130253,52540,60828,37364.0,28702.0,29067.0,63654,25398,29690,18646.0,14651.0,14799.0,66599,27142,31138,18718.0,14051.0,14269.0,Denov tumani,Denov District,Деновский район,77,10
2014,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,346200,170300,175900,130273,54063,63319,38395.0,29934.0,30258.0,63310,26121,31004,19295.0,15125.0,15475.0,66963,27942,32315,19100.0,14810.0,14783.0,Denov tumani,Denov District,Деновский район,77,10
2015,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,353500,173700,179800,131688,54288,65270,39784.0,30631.0,31834.0,63964,26211,31889,19736.0,15508.0,16368.0,67724,28077,33381,20048.0,15123.0,15467.0,Denov tumani,Denov District,Деновский район,77,10
2016,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,361300,177200,184100,133545,53796,68027,40955.0,31557.0,33375.0,64967,25684,33133,20132.0,15964.0,17286.0,68578,28112,34894,20823.0,15594.0,16090.0,Denov tumani,Denov District,Деновский район,77,10
2017,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,369200,180900,188300,136432,51740,70903,42580.0,32490.0,35046.0,66214,24850,34374,20989.0,16328.0,18143.0,70218,26890,36529,21591.0,16162.0,16903.0,Denov tumani,Denov District,Деновский район,77,10
2018,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,376800,184500,192300,140010,50156,72209,44476.0,33387.0,36515.0,67840,24322,34632,21920.0,16849.0,18909.0,72170,25834,37577,22556.0,16538.0,17606.0,Denov tumani,Denov District,Деновский район,77,10
2019,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,375700,184000,191700,140741,47229,71721,45069.0,33404.0,37505.0,68390,22732,34390,22059.0,16885.0,19574.0,72351,24497,37331,23010.0,16519.0,17931.0,Denov tumani,Denov District,Деновский район,77,10
2020,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,384600,188300,196300,145787,45420,72249,47347.0,34249.0,39515.0,70637,22062,34419,23300.0,17217.0,20688.0,75150,23358,37830,24047.0,17033.0,18827.0,Denov tumani,Denov District,Деновский район,77,10
2021,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,392200,192000,200200,149993,43502,72795,49954.0,35005.0,40991.0,72691,20917,34963,24470.0,17575.0,21455.0,77302,22585,37832,25484.0,17430.0,19537.0,Denov tumani,Denov District,Деновский район,77,10
2022,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,400000,195600,204400,155596,41609,72223,52152.0,35715.0,42657.0,75521,19719,34669,25464.0,17892.0,22348.0,80075,21890,37554,26689.0,17824.0,20309.0,Denov tumani,Denov District,Деновский район,77,10
2023,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,409500,200200,209300,161380,40346,71787,54742.0,36914.0,44367.0,78005,19626,34158,26735.0,18529.0,23143.0,83375,20720,37629,28007.0,18386.0,21225.0,Denov tumani,Denov District,Деновский район,77,10
2024,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,420200,205300,214900,168281,40286,70706,56525.0,38102.0,46284.0,81182,19714,33477,27861.0,19058.0,24034.0,87099,20572,37229,28664.0,19045.0,22251.0,Denov tumani,Denov District,Деновский район,77,10
2025,1722210,Denov tumani,Денауский район,Denau district,Денов тумани,430500,210300,220200,173634,41675,69377,58112.0,39512.0,48144.0,83636,20344,33072,28360.0,19736.0,25114.0,89998,21331,36305,29752.0,19777.0,23030.0,Denov tumani,Denov District,Деновский район,77,10
2010,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,169100,,86000,,,,,,,,,,,,,,,,,,,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2011,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,181600,,92200,,,,,,,,,,,,,,,,,,,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2012,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,185600,,94200,,,,,,,,,,,,,,,,,,,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2013,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,188700,,95900,71161,29462,34269,21242.0,16535.0,16057.0,34674,14412,16986,10510.0,8188.0,8019.0,36487,15050,17283,10732.0,8347.0,8038.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2014,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,192500,94600,97900,71133,29984,35648,21452.0,17226.0,17028.0,34802,14487,17750,10471.0,8545.0,8534.0,36331,15497,17898,10981.0,8681.0,8495.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2015,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,196300,96400,99900,71491,30365,36481,22414.0,17684.0,17842.0,34848,14677,18199,10788.0,8776.0,9005.0,36643,15688,18282,11626.0,8908.0,8837.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2016,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,200200,97800,102400,72504,30459,37285,23165.0,18201.0,18587.0,35059,14686,18490,11066.0,9026.0,9496.0,37445,15773,18795,12099.0,9175.0,9091.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2017,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,204400,99800,104600,73812,29891,38298,24276.0,18595.0,19506.0,35580,14426,18944,11732.0,9233.0,9940.0,38232,15465,19354,12545.0,9362.0,9566.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2018,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,208400,101700,106700,75159,29632,39205,25066.0,19001.0,20378.0,36177,14383,19156,12228.0,9436.0,10376.0,38982,15249,20049,12838.0,9566.0,10002.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2019,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,213100,103900,109200,77169,28494,40447,26199.0,19546.0,21251.0,37151,13846,19666,12837.0,9699.0,10735.0,40018,14648,20781,13362.0,9847.0,10516.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2020,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,217800,106100,111700,79228,28131,40392,27668.0,20140.0,22287.0,38123,13678,19579,13585.0,9914.0,11290.0,41105,14453,20813,14084.0,10227.0,10997.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2021,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,222100,108100,114000,81340,27320,40916,28716.0,20490.0,23294.0,39150,13286,19611,14159.0,10141.0,11754.0,42190,14034,21305,14558.0,10349.0,11541.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2022,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,226900,110300,116600,84647,26071,40960,29990.0,20913.0,24307.0,40607,12628,19556,14795.0,10405.0,12301.0,44040,13443,21404,15196.0,10508.0,12007.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2023,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,232100,112900,119200,87883,25406,41060,31162.0,21429.0,25179.0,42363,12072,19650,15333.0,10683.0,12766.0,45520,13334,21410,15829.0,10746.0,12413.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2024,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,238400,115800,122600,92358,24804,40761,32016.0,21965.0,26478.0,44511,11620,19509,15754.0,10875.0,13476.0,47847,13184,21252,16262.0,11090.0,13003.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2025,1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,244000,118400,125600,95481,24851,40495,32746.0,22938.0,27500.0,45982,11644,19354,16125.0,11261.0,14041.0,49499,13207,21141,16621.0,11677.0,13459.0,Jarqo'rg'on tumani,Jarqo'rg'on District,Джаркурганский район,78,10
2010,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,175000,,87500,,,,,,,,,,,,,,,,,,,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2011,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,190700,,94200,,,,,,,,,,,,,,,,,,,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2012,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,194900,,96100,,,,,,,,,,,,,,,,,,,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2013,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,199000,,98000,74994,29460,35571,23520.0,17809.0,17659.0,36963,14657,18679,12092.0,9324.0,9323.0,38031,14803,16892,11428.0,8486.0,8337.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2014,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,203500,103200,100300,75050,30863,36090,24645.0,18339.0,18501.0,36738,15585,18889,12609.0,9644.0,9709.0,38312,15278,17201,12036.0,8695.0,8793.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2015,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,208100,105400,102700,75000,31957,37127,25644.0,18990.0,19404.0,36695,16166,19240,13222.0,9936.0,10197.0,38305,15791,17887,12423.0,9054.0,9208.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2016,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,213000,107800,105200,75576,32876,37760,26646.0,19709.0,20410.0,36733,16666,19464,13862.0,10302.0,10725.0,38843,16210,18296,12785.0,9407.0,9685.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2017,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,217400,110100,107300,76472,32436,39365,27289.0,20388.0,21476.0,37268,16313,20127,14225.0,10718.0,11261.0,39204,16123,19238,13064.0,9670.0,10215.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2018,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,222500,112400,110100,78396,31793,40467,28395.0,20865.0,22594.0,38170,15952,20582,14906.0,10962.0,11865.0,40226,15841,19885,13490.0,9903.0,10729.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2019,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,237900,119900,118000,83753,32847,43809,30281.0,22406.0,24772.0,40781,16316,22252,15849.0,11677.0,12977.0,42972,16531,21557,14432.0,10729.0,11795.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2020,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,233800,118100,115700,82938,30718,42798,30215.0,22060.0,25033.0,40360,15429,21813,15761.0,11477.0,13275.0,42578,15289,20985,14454.0,10583.0,11759.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2021,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,238600,120600,118000,85229,29974,43374,31090.0,22856.0,26122.0,41500,14783,22145,16255.0,11960.0,13923.0,43729,15191,21229,14835.0,10897.0,12200.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2022,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,243700,122900,120800,88191,28620,44029,32029.0,23416.0,27395.0,42878,14100,22083,16887.0,12205.0,14741.0,45313,14520,21946,15142.0,11211.0,12655.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2023,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,249200,125600,123600,91747,27389,44187,33211.0,24075.0,28575.0,44777,13231,22191,17431.0,12616.0,15359.0,46970,14158,21996,15781.0,11459.0,13216.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2024,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,255500,128600,126900,95572,26962,44650,33878.0,24760.0,29654.0,46450,13217,22343,17671.0,12949.0,15949.0,49122,13745,22307,16207.0,11811.0,13705.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2025,1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,261600,131500,130100,98950,27348,43909,34755.0,25722.0,30934.0,48119,13373,21955,18079.0,13398.0,16629.0,50831,13975,21954,16676.0,12324.0,14305.0,Qumqo'rg'on tumani,Qumqo'rg'on District,Кумкурганский район,80,10
2010,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,135100,,68200,,,,,,,,,,,,,,,,,,,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2011,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,138500,,70000,,,,,,,,,,,,,,,,,,,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2012,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,141700,,71600,,,,,,,,,,,,,,,,,,,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2013,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,144800,,73100,54493,24432,24651,16181.0,12439.0,12601.0,26591,12347,12064,7940.0,6198.0,6513.0,27902,12085,12587,8242.0,6241.0,6088.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2014,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,148300,73400,74900,54258,25269,26135,16470.0,12815.0,13359.0,26560,12552,12833,8104.0,6368.0,6911.0,27698,12717,13302,8366.0,6447.0,6449.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2015,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,152200,75200,77000,55198,25187,27749,16924.0,13306.0,13873.0,26902,12504,13655,8388.0,6659.0,7109.0,28296,12683,14094,8537.0,6647.0,6764.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2016,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,156300,77200,79100,56347,25336,29012,17347.0,13766.0,14487.0,27284,12792,14327,8556.0,6886.0,7397.0,29063,12544,14685,8792.0,6880.0,7091.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2017,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,160300,79300,81000,57776,24310,30783,17989.0,14235.0,15259.0,28135,12242,15185,8801.0,7174.0,7802.0,29641,12068,15598,9188.0,7062.0,7457.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2018,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,164400,81300,83100,59544,23571,31937,18748.0,14642.0,15976.0,28985,11800,15809,9214.0,7302.0,8235.0,30559,11771,16128,9534.0,7340.0,7742.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2019,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,169400,83900,85500,61516,23063,33100,19710.0,15055.0,16914.0,30015,11362,16497,9775.0,7584.0,8622.0,31501,11701,16603,9935.0,7471.0,8293.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2020,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,114100,56500,57600,42061,13796,22269,13615.0,10243.0,12148.0,20722,6565,11189,6714.0,5166.0,6182.0,21339,7231,11080,6901.0,5077.0,5966.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2021,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,116300,57600,58700,43254,12656,22996,14470.0,10376.0,12573.0,21305,6039,11389,7253.0,5179.0,6436.0,21949,6617,11607,7218.0,5197.0,6137.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2022,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,118800,58800,60000,45112,12407,22648,14910.0,10601.0,13176.0,22031,6000,11349,7368.0,5285.0,6787.0,23081,6407,11299,7542.0,5316.0,6389.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2023,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,121300,59900,61400,46907,11827,22497,15505.0,10802.0,13767.0,22859,5522,11512,7579.0,5302.0,7161.0,24048,6305,10985,7926.0,5500.0,6606.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2024,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,124000,61200,62800,48813,11880,21844,16141.0,11146.0,14177.0,23613,5871,10886,7973.0,5531.0,7345.0,25200,6009,10958,8168.0,5615.0,6832.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2025,1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,126900,62600,64300,50702,11922,21108,16958.0,11532.0,14683.0,24605,5759,10447,8442.0,5708.0,7631.0,26097,6163,10661,8516.0,5824.0,7052.0,Qiziriq tumani,Qiziriq District,Кизирикский район,79,10
2010,1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,Сариосиё тумани,164600,,82800,,,,,,,,,,,,,,,,,,,Sariosiyo tumani,Sariosiyo District,Сариосийский район,83,10
2011,1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,Сариосиё тумани,168900,,83400,,,,,,,,,,,,,,,,,,,Sariosiyo tumani,Sariosiyo District,Сариосийский район,83,10
2012,1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,Сариосиё тумани,172200,,85100,,,,,,,,,,,,,,,,,,,Sariosiyo tumani,Sariosiyo District,Сариосийский район,83,10
2013,1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,Сариосиё тумани,175800,,86900,64238,26547,29316,22477.0,17667.0,15520.0,31959,13368,15057,11864.0,8889.0,7766.0,32279,13179,14259,10614.0,8778.0,7754.0,Sariosiyo tumani,Sariosiyo District,Сариосийский район,83,10
